_id,School_Number,School_Name,Street,Suburb,Post_Code,Type_of_Schooling,Year_Levels,Sector,Latitude,Longitude
1,3601,Aberfoyle Hub Preschool - Taylors Rd,36 Taylors Road,Aberfoyle Park,5159,Preschools,,Public,-35.07367,138.59114
2,536,Aberfoyle Hub R-7 School,29 Jeanette Crescent,Aberfoyle Park,5159,Primary Education,Reception to Year 7,Private,-35.078139,138.595142
3,3602,Aberfoyle Park Campus Preschool,11 Budapest Road,Aberfoyle Park,5159,Preschools,,Private,-35.06701,138.59375
4,1673,Aberfoyle Park High School,Taylors Road East,Aberfoyle Park,5159,Secondary Education,Years 8-12,Private,-35.074007,138.594181
5,6501,Acacia Kindergarten,21 Wimmera Street,Mount Gambier,5290,Preschools,,Public,-37.817491,140.776808
6,2696,Adams Road Children's Centre,33 Adams Road,Craigmore,5114,Preschools,,Public,-34.688119,138.711775
7,1919,Adelaide Botanic High School,1 Frome Road,Adelaide,5000,Secondary Education,Years 8-12,Private,-34.917055,138.606743
8,997,Adelaide East Education Centre,31 Campbell Road,Paradise,5075,Special Education,Years 8-12,Public,-34.873042,138.672971
9,768,Adelaide High School,West Terrace,Adelaide,5000,Secondary Education,Years 8-12,Public,-34.925733,138.586678
10,5601,Adelaide Miethke Kindergarten,Cnr Oval & Cedar Avenues,Woodville South,5011,Preschools,,Private,-34.884685,138.537334
11,476,Adelaide North Special School,135 Douglas Drive,Munno Para,5115,Special Education,Reception to Year 12,Private,-34.663577,138.684948
12,1686,Adelaide Secondary School of English,253 Torrens Road,West Croydon,5008,Secondary Education,Years 8-12,Private,-34.886834,138.565419
13,1414,Adelaide West Special Education Ctr,12-20 Moldavia Walk,Taperoo,5017,Special Education,Reception to Year 12,Public,-34.801247,138.494073
14,4601,Agnes Goode Kindergarten Inc,7 Cornish Street,Stepney,5069,Preschools,,Private,-34.910867,138.627534
15,980,Airdale Primary School,Anzac Road,Port Pirie,5540,Primary Education,Reception to Year 7,Private,-33.200389,137.990033
16,6510,Akuna Kindergarten,10 Ramsay Avenue,Mount Gambier,5290,Preschools,,Public,-37.832623,140.803774
17,1555,Alberton Preschool,14 Broad Street,Queenstown,5014,Preschools,,Public,-34.862679,138.512645
18,202,Alberton Primary School,14 Broad Street,Queenstown,5014,Primary Education,Reception to Year 7,Public,-34.862679,138.512645
19,4602,Aldgate Kindergarten Inc,3 Fairview Road,Aldgate,5154,Preschools,,Public,-35.019502,138.748939
20,210,Aldgate Primary School,3 Fairview Road,Aldgate,5154,Primary Education,Reception to Year 7,Public,-35.019502,138.748939
21,222,Aldinga Beach B-7 School,Quinliven Road,Aldinga,5173,Primary Education,Reception to Year 7,Public,-35.269294,138.461896
22,5982,Aldinga Beach Children's Centre,Quinliven Road,Aldinga,5173,Integrated Centres,,Public,-35.269294,138.461896
